"";"Name";"Department";"Institution";"Program";"Title";"Term";"a2";"amount"
"122";"Light-Thompson, Janet JV";"Department Computer Science and Applied  Statistics  - Saint John";"New Brunswick";"RGPIN";"Data interaction models for predictive system in pervasive computing environment";"5";"$15,000.00";15000
"123";"Lin, Man M";"Department Mathematics, Statistics and Computing Sciences";"St. Francis Xavier";"RGPIN";"System-level-low-power scheduling algorithm design for networked heterogeneous embedded systems";"5";"$15,000.00";15000
"124";"Liu, Yanni Y";"Department Computer Science";"Manitoba";"RGPIN";"Protocols for efficient, reliable, and secure communications in emerging wireless networks";"5";"$15,000.00";15000
"125";"Lu, Fletcher F";"Department Health Sciences, Faculty of";"Ontario Institute of Technology";"RGPIN";"Matrix computational analysis of probabilistic control systems";"5";"$15,000.00";15000
"126";"Lu, Paul PCP";"Department Computing Science";"Alberta";"EQPEQ";"Virtualization and scalable systems software laboratory";"1";"$24,500.00";24500
"127";"Lubiw, Anna A";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Algorithms in computational geometry and graph drawing";"5";"$43,000.00";43000
"128";"Ma, Bin B";"Department Computer Science, David R. Cheriton School of";"Waterloo";"EQPEQ";"Computer server for bioinformatics research";"1";"$63,793.00";63793
"129";"MacGregor, Michael MH";"Department Computing Science";"Alberta";"RGPIN";"Algorithms and architectures for packet classification";"5";"$20,000.00";20000
"130";"Mann, Richard RA";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Computational perception of motion";"5";"$15,000.00";15000
"131";"Manuch, Jan J";"Department Mathematics";"Simon Fraser";"RGPIN";"Combinatorial models and algorithms in bioinformatics";"5";"$20,000.00";20000
"132";"Marbach, Peter P";"Department Computer Science";"Toronto";"RGPIN";"Theoretical foundations of online social networks";"5";"$34,000.00";34000
"133";"McQuillan, Ian ID";"Department Computer Science";"Saskatchewan";"RGPIN";"Natural computatoin with genetic processes";"5";"$25,000.00";25000
"134";"Mercer, Robert RE";"Department Computer Science";"Western Ontario";"RGPIN";"Argumentation in scholarly biomedical research papers";"5";"$31,000.00";31000
"135";"Merlo, Ettore E";"Department Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Analysis, testing and evolution of security vulnerabilities in web applications";"5";"$31,000.00";31000
"136";"Misic, Jelena J";"Department Computer Science";"Ryerson";"RGPIN";"Deployment of IEEE 802.11p family of protocols in VANET";"5";"$25,000.00";25000
"137";"Mitchell, David DG";"Department Computing Science";"Simon Fraser";"RGPIN";"Solving combinatorial problems by grounding from specifications";"5";"$20,000.00";20000
"138";"Mohassel, Payman P";"Department Computer Science";"Calgary";"RGPIN";"Practical secure computation";"5";"$25,000.00";25000
"139";"Möller, Torsten T";"Department Computing Science";"Simon Fraser";"RGPIN";"Regular lattices in visualization and graphics";"5";"$43,000.00";43000
"140";"Moreno Maza, Marc M";"Department Computer Science";"Western Ontario";"EQPEQ";"Integrating distributed and parallel computing in artificial intelligence and computer algebra";"1";"$150,000.00";150000
"141";"Mouhoub, Malek M";"Department Computer Science";"Regina";"RGPIN";"Preference-based (temporal) constraint solving under change and uncertainty";"5";"$20,000.00";20000
"142";"Mousavi, Parvin P";"Department Computing, School of";"Queen's";"RGPIN";"Towards integrative data analysis for predictive modeling in biomedical computing";"5";"$31,000.00";31000
"143";"Mukhopadhyay, Asish A";"Department Computer Science, School of";"Windsor";"RGPIN";"Geometric optimization and applications";"5";"$20,000.00";20000
"144";"Muldner, Tomasz T";"Department Computer Science, Jodrey School of";"Acadia";"RGPIN";"Updating and querying compressed  XML documents";"5";"$15,000.00";15000
"145";"Müller, Martin MF";"Department Computing Science";"Alberta";"RGPIN";"Search and simulation in games and planning";"5";"$34,000.00";34000
"146";"Murphy, Gail GC";"Department Computer Science";"British Columbia";"RGPIN";"Software evolution concern summarization and explanation";"5";"$43,000.00";43000
"147";"Narayanan, Lata L";"Department Computer Science and Software Engineering";"Concordia";"RGPIN";"Algorithms for wireless ad hoc and sensors networks";"5";"$25,000.00";25000
"148";"Nikolaidis, Ioanis I";"Department Computing Science";"Alberta";"RGPIN";"Usable and efficient abstractions for wireless sensor networks";"5";"$20,000.00";20000
"149";"Norvell, Theodore TS";"Department Electrical and Computer Engineering";"Memorial Univ. of Nfld";"RGPIN";"Automated verification of concurrent programs for embedded systems";"5";"$25,000.00";25000
"150";"Nussbaum, Doron D";"Department Computer Science, School of";"Carleton";"RGPIN";"Dynamic mobile computing";"5";"$15,000.00";15000
"151";"Oommen, John JB";"Department Computer Science, School of";"Carleton";"RGPIN";"Learning, neural and pattern recognition systems";"5";"$25,000.00";25000
"152";"Opatrny, Jaroslav J";"Department Computer Science and Software Engineering";"Concordia";"RGPIN";"Routing and communication algorithms in ad-hoc networks";"5";"$20,000.00";20000
"153";"Ostroff, Jonathan JS";"Department Computer Science and Engineering";"York";"RGPIN";"Mathematical models for specifying and verifying concurrent object-oriented systems";"5";"$20,000.00";20000
